dataset,subset,cluster_id,cluster_size,node_id,file_path,language,source_element_path
KMT,all_notes_en,all_notes_en_cluster_dita_document:7687e5d33d9ba871017c,5,dita_document:3420fa929dba8fad6a52,KA-04419_note_0003.dita,,KA-04419_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:531e73a1ec3712a50c6d,3,dita_document:531e73a1ec3712a50c6d,KA-01571_note_0002.dita,,KA-01571_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:531e73a1ec3712a50c6d,3,dita_document:ac396972874ae603ff33,KA-01571_note_0004.dita,,KA-01571_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:531e73a1ec3712a50c6d,3,dita_document:e5b59f35e3bc901d00d2,KA-01571_note_0005.dita,,KA-01571_note_0005.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:c470023524fe0beab602,2,dita_document:c470023524fe0beab602,KA-01581_note_0001.dita,,KA-01581_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:c470023524fe0beab602,2,dita_document:6a398b7f23e020853339,KA-01581_note_0002.dita,,KA-01581_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:d532c7948fd721f7c848,2,dita_document:d532c7948fd721f7c848,KA-01586_note_0005.dita,,KA-01586_note_0005.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:d532c7948fd721f7c848,2,dita_document:144840125e4be953ef91,KA-01586_note_0006.dita,,KA-01586_note_0006.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:e9f45c464bc4f37d8885,KA-01589_note_0001.dita,,KA-01589_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:28349db37437a87c4800,KA-01621_note_0003.dita,,KA-01621_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:f4243ac7129252c55568,KA-01625_note_0001.dita,,KA-01625_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:bcea966559623a97e65a,KA-01784_note_0001.dita,,KA-01784_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:152fd4ee40b55e2bda0a,KA-04850_note_0003.dita,,KA-04850_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:1db1bd613145d1da1a92,KA-04850_note_0004.dita,,KA-04850_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:04ba8a5d4c3f6041490a,KA-04850_note_0008.dita,,KA-04850_note_0008.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:e9f45c464bc4f37d8885,8,dita_document:f578b138b007b6d184b2,KA-04850_note_0009.dita,,KA-04850_note_0009.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:09adf562760dc25b4973,6,dita_document:09adf562760dc25b4973,KA-01589_note_0003.dita,,KA-01589_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:09adf562760dc25b4973,6,dita_document:e560ce29facc5af251bb,KA-01590_note_0005.dita,,KA-01590_note_0005.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:09adf562760dc25b4973,6,dita_document:13b0ddb8f9f491f1ac6f,KA-01783_note_0008.dita,,KA-01783_note_0008.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:09adf562760dc25b4973,6,dita_document:fbf151bf84dd1be2ab2a,KA-01784_note_0004.dita,,KA-01784_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:09adf562760dc25b4973,6,dita_document:68173d594739134b2c01,KA-04381_note_0004.dita,,KA-04381_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:09adf562760dc25b4973,6,dita_document:778ad616c6bc0522920d,KA-04414_note_0005.dita,,KA-04414_note_0005.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:a10f02d87a5ff3376344,4,dita_document:66768ac8883b5cb50be6,KA-01589_note_0004.dita,,KA-01589_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:a10f02d87a5ff3376344,4,dita_document:a10f02d87a5ff3376344,KA-01601_note_0002.dita,,KA-01601_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:a10f02d87a5ff3376344,4,dita_document:8924d11e77c8baef0530,KA-01621_note_0008.dita,,KA-01621_note_0008.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:a10f02d87a5ff3376344,4,dita_document:c068a149c6d2ca5ff929,KA-01784_note_0010.dita,,KA-01784_note_0010.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:8fb28463f63a55400b42,KA-01589_note_0006.dita,,KA-01589_note_0006.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:bf09e43a3678355f1f36,KA-01590_note_0013.dita,,KA-01590_note_0013.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:a26c3795507236b4dbcf,KA-01590_note_0017.dita,,KA-01590_note_0017.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:cdaf7a48667f6ab00649,KA-01621_note_0013.dita,,KA-01621_note_0013.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:24da467a300b698b9619,KA-01621_note_0014.dita,,KA-01621_note_0014.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:0f32a8ec23ff8348409d,KA-01625_note_0005.dita,,KA-01625_note_0005.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:af34a983596996b8f1f2,KA-01642_note_0004.dita,,KA-01642_note_0004.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:4fead898dd5692ccf1a0,KA-01644_note_0010.dita,,KA-01644_note_0010.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:07b17114b97d474e2847,KA-01751_note_0039.dita,,KA-01751_note_0039.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:21b837d029a58259f6e1,KA-01783_note_0013.dita,,KA-01783_note_0013.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:3308e0d884ac7fd3cb59,KA-01784_note_0013.dita,,KA-01784_note_0013.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:e83f60074d548c9b6aa3,KA-02335_note_0001.dita,,KA-02335_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:7ab317d9a03cfb7f9515,KA-04886_note_0001.dita,,KA-04886_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:18c9d648c7f05d77a84c,KA-04894_note_0001.dita,,KA-04894_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:f40754d6e928a8aa5b33,KA-05024_note_0001.dita,,KA-05024_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:4cadc67d9c9f6119aa01,KA-05048_note_0001.dita,,KA-05048_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:b0758e451f084ae92e70,KA-05053_note_0002.dita,,KA-05053_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:0f82cf30d50eeff2c10a,KA-05072_note_0001.dita,,KA-05072_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:21b837d029a58259f6e1,22,dita_document:036850f6dd7f79c11a75,KA-05100_note_0001.dita,,KA-05100_note_0001.dita
