item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score
11,3049,dita_body:906231843ca5a2d2a252,dita_body:5f5cecea333807bdb661,1.0000003576278689,0.9998883
11,3093,dita_body:906231843ca5a2d2a252,dita_body:ab17fca711a0cdffb8f0,1.0000003576278689,0.9998883
11,3110,dita_body:906231843ca5a2d2a252,dita_body:747e453c8c0213d87b5c,1.0000003576278689,0.9998883
11,3381,dita_body:906231843ca5a2d2a252,dita_body:c9f429132fbaf916f3a0,1.0000003576278689,0.9998883
11,3453,dita_body:906231843ca5a2d2a252,dita_body:022855d38bf0a4e01f20,1.0000003576278689,0.9998883
11,3550,dita_body:906231843ca5a2d2a252,dita_body:ce3898ac8a344455b7cd,1.0000003576278689,0.9998883
11,3999,dita_body:906231843ca5a2d2a252,dita_body:4c15f0d2a97475a38bb1,1.0000003576278689,0.9998883
11,4445,dita_body:906231843ca5a2d2a252,dita_body:6cecc6c6115f8800330c,1.0000003576278689,0.9998883
11,4531,dita_body:906231843ca5a2d2a252,dita_body:5b0df4fe2fe1e5843af6,1.0000003576278689,0.9998883
11,4868,dita_body:906231843ca5a2d2a252,dita_body:c90512b75911a5241fa0,1.0000003576278689,0.9998883
11,5158,dita_body:906231843ca5a2d2a252,dita_body:e37049824a4529e1450b,1.0000003576278689,0.9998883
11,5166,dita_body:906231843ca5a2d2a252,dita_body:8fbda9294eb7a1b87d0e,1.0000003576278689,0.9998883
11,5177,dita_body:906231843ca5a2d2a252,dita_body:c5ccc5587b88cc03f1ea,1.0000003576278689,0.9998883
11,5187,dita_body:906231843ca5a2d2a252,dita_body:f204fdd20e70415c58e8,1.0000003576278689,0.9998883
11,5204,dita_body:906231843ca5a2d2a252,dita_body:c81d40aa59e17d7721d2,1.0000003576278689,0.9998883
11,5219,dita_body:906231843ca5a2d2a252,dita_body:003c109f9f4d8b0bbcae,1.0000003576278689,0.9998883
11,5265,dita_body:906231843ca5a2d2a252,dita_body:669eb4b5fb610468b0e8,1.0000003576278689,0.9998883
11,5405,dita_body:906231843ca5a2d2a252,dita_body:45be0b477825b415f901,1.0000003576278689,0.9998883
11,5447,dita_body:906231843ca5a2d2a252,dita_body:caa839d5b3adfdced612,1.0000003576278689,0.9998883
11,6128,dita_body:906231843ca5a2d2a252,dita_body:16b1bad22b2435a0dcb1,1.0000003576278689,0.9998883
11,6165,dita_body:906231843ca5a2d2a252,dita_body:5b9afe1e55a9a49dd7e0,1.0000003576278689,0.9998883
11,6624,dita_body:906231843ca5a2d2a252,dita_body:11708a32deaa75d29c88,1.0000003576278689,0.9998883
11,7128,dita_body:906231843ca5a2d2a252,dita_body:6648821e4d0aea08a8df,1.0000003576278689,0.9998883
11,8060,dita_body:906231843ca5a2d2a252,dita_body:81df37ab618d8e48bc3a,1.0000003576278689,0.9998883
11,8075,dita_body:906231843ca5a2d2a252,dita_body:e4f2c629d553e740de94,1.0000003576278689,0.99986225
11,8606,dita_body:906231843ca5a2d2a252,dita_body:019475f2fef300e911c3,1.0000003576278689,0.9998883
11,8709,dita_body:906231843ca5a2d2a252,dita_body:57f8ed65c1727e39b92f,1.0000003576278689,0.99986225
11,8753,dita_body:906231843ca5a2d2a252,dita_body:a8d60efe1777c45ffedd,1.0000003576278689,0.9998883
11,8860,dita_body:906231843ca5a2d2a252,dita_body:e3466d91426a24b90da5,1.0000003576278689,0.9998883
11,8913,dita_body:906231843ca5a2d2a252,dita_body:67479e12055530feb016,1.0000003576278689,0.9998883
11,8922,dita_body:906231843ca5a2d2a252,dita_body:0c930589aade20ac3d40,1.0000003576278689,0.9998883
